Date;1A, 0.90;1A, 0.95;1A, 0.97;2A, 0.90;2A, 0.95;2A, 0.97;3A, 0.90;3A, 0.95;3A, 0.97;3B, 0.90;3B, 0.95;3B, 0.97;4A, 0.90;4A, 0.95;4A, 0.97;4B, 0.90;4B, 0.95;4B, 0.97;5A, 0.90;5A, 0.95;5A, 0.97;5B, 0.90;5B, 0.95;5B, 0.97;6A, 0.90;6A, 0.95;6A, 0.97;6B, 0.90;6B, 0.95;6B, 0.97;6C, 0.90;6C, 0.95;6C, 0.97;7A, 0.90;7A, 0.95;7A, 0.97
1/1/2025;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/2/2025;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/3/2025;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/4/2025;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/5/2025;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/6/2025;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/7/2025;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/8/2025;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/9/2025;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/10/2025;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/11/2025;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
1/12/2025;17.8;14.01;12.55;19.93;14.97;13.36;14.59;12.94;12.73;14.46;12.45;11.93;14.59;12.58;12.11;13.89;11.85;11.52;20.009;15.833;14.31;17.74;15.298;13.969;18.545;14.865;13.595;17.49;14.105;12.87;16.01810526;12.89105263;11.80368421;15.434;13.91;13.413
